feature,importance
origin_balance_error,0.3357504758032456
risk_score_v1,0.13377425801247647
oldbalanceOrg,0.1111013385001971
is_high_risk_type,0.09682040249085758
newbalanceOrig,0.06518044564604368
sender_emptied_account,0.05417982845218973
amount,0.04025737059532028
receiver_high_risk_txn_count,0.03749554059254696
oldbalanceDest,0.027033283528791564
receiver_total_amount,0.022463944154859413
newbalanceDest,0.02005732268968528
receiver_avg_amount,0.013725644060556546
dest_balance_error,0.012949814888182391
receiver_txn_count,0.00957723502900603
is_large_amount,0.008285841019839674
receiver_in_degree,0.007855661679252102
mule_risk_score_v1,0.0033230147271011705
mule_alert_v1,0.00013760925675466366
possible_mule_receiver,2.9582757765693386e-05
sender_txn_count,9.708800285334862e-07
sender_out_degree,4.152352994894513e-07
