feature_set,config_id,feature_count,max_depth,learning_rate,reg_lambda,n_estimators,fold_1_pr_auc,fold_2_pr_auc,fold_3_pr_auc,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc,stability_score,training_seconds
base_only,12,9,8,0.05,5.0,350,0.3884804148664584,0.3727790494614978,0.40223900451230404,0.3878328229467534,0.01474065023564874,0.3727790494614978,0.40223900451230404,0.38414766038784126,50.41
base_only,8,9,6,0.05,5.0,350,0.3814853927430174,0.3735903856699257,0.4080483998495926,0.38770805942084524,0.018052143106541213,0.3735903856699257,0.4080483998495926,0.38319502364420993,44.02
base_only,9,9,8,0.03,1.0,350,0.3880159233769988,0.37362619810169784,0.39335268759675723,0.38499826969181794,0.010203591145887625,0.37362619810169784,0.39335268759675723,0.38244737190534606,46.36
base_only,11,9,8,0.05,1.0,350,0.39701512559815594,0.3782316036346021,0.374369665143167,0.383205464791975,0.0121144001466946,0.374369665143167,0.39701512559815594,0.3801768647553013,49.26
base_only,7,9,6,0.05,1.0,350,0.3794334858583216,0.3660194791570283,0.405630379983559,0.3836944483329696,0.020146282956914938,0.3660194791570283,0.405630379983559,0.37865787759374087,41.73
base_only,10,9,8,0.03,5.0,350,0.381720054283107,0.34517504668448473,0.39474056245178124,0.3738785544731243,0.02569634074672887,0.34517504668448473,0.39474056245178124,0.3674544692864421,46.32
base_only,6,9,6,0.03,5.0,350,0.3617904978218057,0.34341473457616106,0.3778856322786263,0.361030288225531,0.017248018323162726,0.34341473457616106,0.3778856322786263,0.35671828364474034,43.54
base_only,5,9,6,0.03,1.0,350,0.35938641715780456,0.34585829567437953,0.36690558363027226,0.3573834321541522,0.01066564785975091,0.34585829567437953,0.36690558363027226,0.35471702018921447,41.98
base_only,3,9,4,0.05,1.0,350,0.3603898120268334,0.3507506447192646,0.3463312086525926,0.3524905551328968,0.007188987995132088,0.3463312086525926,0.3603898120268334,0.35069330813411376,33.5
base_only,4,9,4,0.05,5.0,350,0.3659504943714742,0.356346856200705,0.3214387205776222,0.34791202371660046,0.02342401120314242,0.3214387205776222,0.3659504943714742,0.34205602091581483,35.35
base_only,2,9,4,0.03,5.0,350,0.31403681561927854,0.3258843493825179,0.29198249516354224,0.3106345533884462,0.017205100147534184,0.29198249516354224,0.3258843493825179,0.30633327835156265,29.7
base_only,1,9,4,0.03,1.0,350,0.3211177557949845,0.3274316829921448,0.28528718379169404,0.31127887419294115,0.022729768951717702,0.28528718379169404,0.3274316829921448,0.30559643195501174,25.75
base_plus_graph,7,16,6,0.05,1.0,350,0.416912183293963,0.3967151469865527,0.3811461314924339,0.39825782059098325,0.017932860807879217,0.3811461314924339,0.416912183293963,0.39377460538901343,50.17
base_plus_graph,11,16,8,0.05,1.0,350,0.4308906523170724,0.39613009413693684,0.36332133002208095,0.3967806921586967,0.03378935908226947,0.36332133002208095,0.4308906523170724,0.3883333523881293,86.39
base_plus_graph,8,16,6,0.05,5.0,350,0.4162305099705984,0.38736475733390546,0.3750315525312449,0.3928756066119163,0.021145108615141444,0.3750315525312449,0.4162305099705984,0.3875893294581309,50.28
base_plus_graph,12,16,8,0.05,5.0,350,0.43809165787483245,0.36910825584774304,0.36136484300204474,0.38952158557487343,0.04224072742084548,0.36136484300204474,0.43809165787483245,0.3789614037196621,181.31
base_plus_graph,9,16,8,0.03,1.0,350,0.419750899834222,0.36050760332571413,0.364262647070252,0.3815070500767293,0.03317331942368895,0.36050760332571413,0.419750899834222,0.37321372022080707,56.74
base_plus_graph,10,16,8,0.03,5.0,350,0.4172932155123292,0.36374916817449243,0.3580755686771817,0.37970598412133444,0.03267487422384524,0.3580755686771817,0.4172932155123292,0.37153726556537314,54.31
base_plus_graph,5,16,6,0.03,1.0,350,0.42340763059886766,0.383003700111954,0.33181058333550495,0.37940730468210887,0.04590430602794833,0.33181058333550495,0.42340763059886766,0.3679312281751218,50.56
base_plus_graph,6,16,6,0.03,5.0,350,0.40500855953640114,0.36084518704894275,0.35179613564466466,0.3725499607433362,0.028471772153067412,0.35179613564466466,0.40500855953640114,0.36543201770506933,50.27
base_plus_graph,4,16,4,0.05,5.0,350,0.39804962782455244,0.3729364667212921,0.3207480391922397,0.3639113779126948,0.03943314687255035,0.3207480391922397,0.39804962782455244,0.3540530911945572,43.22
base_plus_graph,3,16,4,0.05,1.0,350,0.37597893708538227,0.3545258047211294,0.3232223766187073,0.35124237280840626,0.026531101784746894,0.3232223766187073,0.37597893708538227,0.3446095973622195,42.72
base_plus_graph,1,16,4,0.03,1.0,350,0.331511673522712,0.3423727606701834,0.2894981159168541,0.32112751670324985,0.027924989688200078,0.2894981159168541,0.3423727606701834,0.3141462692811998,42.24
base_plus_graph,2,16,4,0.03,5.0,350,0.33173176307798746,0.33742800925871985,0.2858524475453596,0.31833740662735566,0.02827660216605055,0.2858524475453596,0.33742800925871985,0.311268256085843,42.11
